,dt(ms),inh Sis - M,inh Sis - lb,inh Sis - ub,inh Dis - M,inh Dis - lb,inh Dis - ub
0,-49.0,0.02032308082779255,0.009905067813274882,0.05184287027498524,0.02032308082779255,0.009905067813274882,0.05184287027498524
1,-30.0,0.05282933428618991,0.02528754749271595,0.1556387597269464,0.06537340393058444,0.03963015753830748,0.1556387597269464
2,-20.0,0.09520925361008131,0.04506413660365592,0.2665508188976292,0.11926621117558886,0.07199295245849228,0.2665508188976292
3,-15.0,0.12104609698638892,0.05662452555440701,0.3359645447324099,0.156311243288296,0.0940130067800681,0.3359645447324099
4,-10.0,0.1515225967267484,0.06966265143112857,0.3993044672938908,0.20339404573319114,0.12283078062757204,0.3993044672938908
5,-7.5,0.1619685282048984,0.07480926005800986,0.42042822360548826,0.22789308990121027,0.139086908234705,0.42042822360548826
6,-5.0,0.16184514608407022,0.07791169381734976,0.4262338256229743,0.25070052004404425,0.15612926593788512,0.4262338256229743
7,-3.5,0.14979937984089153,0.07498389357755132,0.4107334623948362,0.26353286641248536,0.16285331281095894,0.4107334623948362
8,-2.0,0.13497362412567418,0.06666244381237675,0.3726480824423367,0.2579699631196086,0.1656649229366813,0.3726480824423367
9,-1.0,0.11064589121331758,0.053836345345587025,0.3419271890757973,0.24196361686166046,0.15245682406676953,0.3419271890757973
10,-0.5,0.08552823359417157,0.04421476858133452,0.3038400970149185,0.2140117814715124,0.13465941047278301,0.3038400970149185
11,0.0,0.06488349378211428,0.030588989185851446,0.027832934364689255,0.16544764067060985,0.1149911523296255,0.027832934364689255
12,0.5,0.005455353955897428,0.0031129734292304747,0.009831207747315988,0.005462392289216889,0.0031129734292329172,0.009831207747315988
13,1.0,0.004562998794021381,0.0031268752077299325,0.008938852585439933,0.004570037127340824,0.003126875207732375,0.008938852585439933
14,2.0,0.0,0.0029949863205943794,0.0,0.0029879479872724946,0.0,0.007610702174396203
15,2.75,0.0,0.002416679690801284,0.0,0.002409641357479399,0.0,0.007211518978970127
16,3.5,0.0,0.0024026310569627285,0.0,0.0023955927236408436,0.0,0.0072399406172099535
17,5.0,0.0,0.002643127500171712,0.0,0.002636089166849854,0.0,0.0075219842646813044
18,7.5,0.0,0.00338919056461927,0.0,0.003382152231297413,0.0,0.008224663967324727
19,10.0,0.0,0.0034951110962017913,0.0,0.0034880727628799064,0.0,0.008325447126506754
20,15.0,0.0,0.003907108430372392,0.0,0.003900070097050507,0.0,0.008704633568268285
21,20.0,0.0,0.003636352398084909,0.0,0.0036294099839036236,0.0,0.008177627957433965
