,dt(ms),inh Sis - M,inh Sis - lb,inh Sis - ub,inh Dis - M,inh Dis - lb,inh Dis - ub
0,-49.0,0.004092023234987724,0.0037383654354045254,0.01158091943179268,0.0051945157140691894,0.0024927145394479933,0.010887495850053941
1,-30.0,0.014727399360220432,0.01292477496170997,0.03333530578265238,0.015617341866904694,0.006841508351789974,0.035643584025261056
2,-20.0,0.026932295417991164,0.022393816137712165,0.0569761544138124,0.027646550484925897,0.011718173804199414,0.06057059331008624
3,-15.0,0.035055973322421746,0.028942825916788928,0.07314873120296132,0.03630902024433699,0.015156849038300408,0.07749765244176222
4,-10.0,0.045378238296518214,0.03667196038307776,0.09118845265211757,0.04646395382395943,0.019893100568627916,0.09792122831564343
5,-7.5,0.05006740033490045,0.04082972625524587,0.10059192262417903,0.05191369714484375,0.022477358200641014,0.10884663799652192
6,-5.0,0.054315971889127054,0.04487858384533355,0.10987642980687208,0.058326392222219914,0.025193378063103226,0.12002312187445172
7,-3.5,0.05619469437176151,0.04690665490674579,0.11352982023783288,0.06163852092582767,0.026704600217122926,0.12669664449775134
8,-2.0,0.05660479197655145,0.04842711537680863,0.11631486196297527,0.06486382772715377,0.028090307736759818,0.13277437170118966
9,-1.0,0.05584682262008435,0.04858438952420326,0.11638248860353562,0.06705436879523045,0.028840427944069102,0.1359112792317825
10,-0.5,0.05482663417040254,0.04822911244000666,0.11545887274538202,0.06713466683452116,0.02880472607075064,0.13625434085269367
11,0.0,0.05310090953186317,0.046692036740538186,0.11417266103659378,0.06689490163182939,0.028568082810802534,0.13459902437129853
12,0.5,0.05141824783556074,0.044969191085752175,0.11043379769214084,0.06535959222257147,0.027742889270856344,0.13046203161534803
13,1.0,0.04973558613925831,0.043246345430966164,0.10602491955360581,0.06313841110263278,0.026880404932147484,0.12516367037063464
14,2.0,0.04608849052766151,0.03948365561311973,0.09711364721911708,0.05786399678905381,0.02516919951181883,0.11334166188827097
15,2.75,0.04321629044192217,0.03680224176646835,0.09027428793456858,0.054894720412491944,0.02392711216235239,0.10366434945600148
16,3.5,0.040395067212326385,0.03420761575709121,0.0837796090045222,0.05176378071804835,0.022827476108163013,0.0961658951684296
17,5.0,0.034835629238110066,0.02932351483346941,0.07133082200958338,0.04570907223616435,0.02032831146498458,0.08279893634152811
18,7.5,0.02555731513540269,0.021843994833591056,0.052207072461289736,0.035729197432582946,0.015739268755957193,0.06081176414218554
19,10.0,0.015898209798043822,0.013563966575710872,0.033585513030686756,0.025725661316823065,0.011401146150722257,0.03857898135613226
20,15.0,0.0023428682683436495,0.0012549932648705869,0.00330067164770096,0.002676319925602416,0.0015629213375310126,0.004155586596665065
21,20.0,0.0014965572834748323,0.0014985608497972973,0.0021287108911593926,0.001487576050200353,0.001499223724528707,0.0014916264195903208
