,Rneck,Delta V (mV) Spine Head,Delta V (mV) Dendritic Shaft
0,0.8864075889129278,12.697356337373648,12.6584431239093
1,1.037049164336841,12.710804787829119,12.665281677632805
2,1.3814599695478462,12.736040389611574,12.675409170056817
3,1.384238530139048,12.736222397055464,12.67546931531691
4,1.6978339607913864,12.755365981386234,12.680784015857803
5,1.745128380655851,12.758068116402377,12.681376911477521
6,1.924067989890117,12.767911850669229,12.683243475095765
7,2.0646829746105086,12.77528895941056,12.684355128120032
8,2.242995408246095,12.784275498308872,12.685400084303382
9,2.385391141479244,12.791204430891085,12.685989683413617
10,2.3979011725174115,12.791803884138275,12.686032305173569
11,2.4440693441285744,12.79400407770941,12.686177657223475
12,2.4827800207001327,12.795834696658574,12.686285519153152
13,2.5722903999250093,12.800020894552233,12.686488772269549
14,2.7511013861707334,12.80820640850807,12.686720023597744
15,2.8191882823346934,12.811267403513398,12.686752997728696
16,2.8321045835079457,12.811844873273046,12.686756088757036
17,3.5062335627546877,12.84082293005249,12.685775280375175
18,3.6613665554383767,12.847231590199542,12.685294685689385
19,3.667794975720604,12.8474954541474,12.685273109954892
20,3.6985309728427715,12.84875527068698,12.685168204490616
21,3.78390505539766,12.852239505474955,12.684862066376454
22,4.080094600598996,12.864169680692193,12.68364624790867
23,4.244470462781304,12.870696187237591,12.682879762582544
24,4.3491709078867675,12.874821955186306,12.682361159209435
25,4.352914980681315,12.874969063657694,12.682342199269797
26,4.405332455122811,12.87702558770524,12.68207384373057
27,4.620265335089505,12.885402192476512,12.680919405350103
28,4.952398042694052,12.898187163695823,12.678982120488882
29,4.98461434425418,12.899423648163804,12.678785277723797
30,5.180797819761658,12.907015523777346,12.677555636728066
31,5.1869534956705605,12.907252862310663,12.677516226652067
32,5.192339693932341,12.907460490683349,12.677481703054738
33,5.200076116853391,12.907758647390395,12.677432050378947
34,5.397794828072911,12.915352011086654,12.676137954533722
35,5.629359934260311,12.924184290830084,12.674564900561748
36,5.718343584617641,12.927562073231961,12.673945216024428
37,5.848216715491442,12.932476863804695,12.673026618217598
38,6.271650534673717,12.94838643736054,12.669925194147623
39,6.344093475601331,12.951092166470723,12.669379645018871
40,6.643454574994358,12.962228017348778,12.667083697093396
41,6.675271116949312,12.963407476740592,12.666835951893859
42,6.803028812968279,12.968136075405049,12.665834349986064
43,6.904721463288398,12.971891661867637,12.665029567880538
44,6.947546019293754,12.973471075307515,12.664688731072552
45,7.088155520516203,12.978648303969663,12.663561872818768
46,7.328457867002624,12.987467104285976,12.661609900329857
47,7.53298864595177,12.994945969079708,12.659924242585845
48,7.89652483780188,13.008182326842025,12.656877974916632
49,8.032962556092153,13.013132578015089,12.655719386953812
50,8.200870088834307,13.019212374463486,12.654282918274923
51,8.264142658713569,13.021500037325055,12.653738684177505
52,8.578895195077278,13.032853933536813,12.651008863095917
53,8.783954296016795,13.040305459713707,12.649211420358938
54,8.802105452241179,13.040969212452474,12.649051633862655
55,9.040795460525763,13.04968578063508,12.646940556006143
56,9.115669217826078,13.052415627620626,12.646274683604155
57,9.35492012403271,13.061125031603169,12.644135870691812
58,9.463208382004126,13.065060479571201,12.64316248076328
59,9.484149277474959,13.065821063128503,12.64297387526787
60,9.597879954233653,13.069949277298562,12.641947505237042
61,9.981102162450652,13.083829153473395,12.638464804250965
62,10.089316844813919,13.087740454464814,12.637474938959834
63,10.20194395318576,13.091807606209997,12.636441871032595
64,10.411445850882084,13.099363507429658,12.634512802058431
65,10.440323254955773,13.100404048613733,12.63424616804555
66,10.490878596885697,13.102225167865946,12.6337789574469
67,10.911816349677528,13.117362290563044,12.629869066668014
68,11.060528973255023,13.122699399560531,12.628479739082614
69,11.199753049108919,13.127691153839066,12.627175489471782
70,11.245610007498746,13.129334314184497,12.626745167603012
71,11.33212069864841,13.132432864288035,12.625932381529736
72,11.407946641493348,13.135147309398015,12.625218955269176
73,11.431174668926227,13.135978574556027,12.625000220285912
74,11.54603121592303,13.140087192794965,12.623917355313367
75,11.603842071996782,13.1421540858721,12.623371524794926
76,11.92882479865858,13.15375973980403,12.620293663684762
77,12.041972995228523,13.157795272760126,12.619218421582659
78,12.589705573723762,13.177351286238498,12.613988780386912
79,12.601386082312269,13.177774074865283,12.613876836229963
80,12.943478282393018,13.190145312843775,12.610591002404881
81,13.04640590510336,13.1938634034762,12.6095997098015
82,13.052024666751398,13.194066318203056,12.609545561421584
83,13.345133770957784,13.20464402857047,12.606716077968287
84,13.382907895758871,13.206006155948984,12.606350766192953
85,13.416976484299184,13.207234457754097,12.606021163786636
86,13.441268192637862,13.208110147900676,12.605786076587883
87,13.563400235137975,13.212511401732208,12.604603216022298
88,13.650267527987758,13.215640341920029,12.60376099222934
89,13.658999627684967,13.215954803079327,12.603676289386328
90,13.838427227310648,13.222413662182284,12.601934179889085
91,14.139097440967143,13.23322560551945,12.599008183178412
92,14.575055332649804,13.248878281063654,12.594751642045289
93,15.22385118148784,13.272122713360979,12.588389209321221
94,15.294055970744006,13.274634516399153,12.587698904328413
95,15.47606606921491,13.281143505373166,12.585907677231987
96,15.810640958047669,13.293097371727157,12.582609321129624
97,15.888855562585576,13.295889834142343,12.581837234499666
98,16.284732261729264,13.310012181544458,12.577923775585575
99,16.46039554284787,13.316272720078558,12.576184375791655
100,16.557856796660374,13.31980286194296,12.575218597480983
101,16.835225322133585,13.329858114510472,12.572467315193968
102,17.18858216950566,13.342655351561916,12.568956700439522
103,17.224482443772498,13.343954737505435,12.568599694424655
104,17.29196804598626,13.346396946008348,12.567928429356407
105,17.327702292789585,13.347689914334396,12.567572903359746
106,17.44400555196229,13.351897134284123,12.566415382698274
107,17.445688544540786,13.351958004958568,12.566398628060604
108,17.480546555680704,13.35321868428175,12.566051578885904
109,17.598478463061998,13.357482851163816,12.564877043845144
110,17.710621830511393,13.361536332039329,12.563759602498443
111,17.731050653077297,13.362274597773279,12.563555983640704
112,17.879499841780042,13.367637993476414,12.562075833254738
113,17.949220515563063,13.370156167847789,12.561380353803557
114,18.29733954178362,13.382722014022285,12.557904911453235
115,18.7569665062879,13.399294110240014,12.553309309861255
116,18.948883104202586,13.406207598313102,12.55138824463966
117,19.05984517027174,13.410203201661176,12.550276969513945
118,19.266453067502585,13.417639754558422,12.548206763337063
