,AePSD (um^2),dV_{max} (mV) - Spine Head,dV_{max} (mV) - Dendritic Shaft,dV_{max} (mV) - Soma,SiS (0) or DiS (1)
45,0.623957,21.55668356642291,9.576691513963333,2.386065847924698,0.0
46,0.402016,11.308722439095888,6.821383014471856,1.6539326521619842,0.0
47,0.0441042,3.4043160707372806,0.8200701994187227,0.18773159495309244,0.0
48,0.0274589,3.8873512045606446,0.5083289522706167,0.11693018469975414,0.0
49,0.0479813,2.993165458638771,0.8938980962493304,0.20568170485766757,0.0
50,0.0695152,3.4300107189568507,1.2897886984228109,0.2968108106638425,0.0
51,0.0514074,2.9651298341902503,0.9548114320655685,0.22358235265650706,0.0
52,0.403773,17.54603864384584,6.495074724225205,1.5484660222473678,0.0
53,0.0371317,1.8969118859558591,0.7015670964229059,0.1576124152820313,0.0
54,0.0915083,4.062817090698644,1.6735580568719683,0.39694724037724427,0.0
55,0.281162,10.537043487908683,4.800064808578,1.1652366572739226,0.0
56,0.116874,4.952685720503425,2.110781526524079,0.5123403194396019,0.0
57,0.945083,25.916511588778043,13.965227237912835,3.585109271837382,0.0
58,0.0438439,2.451326925304869,0.8281506561856986,0.17995111557648613,0.0
59,0.0356928,3.76661341289811,0.667483689450421,0.14455166640469486,0.0
60,0.123556,4.397225152759404,2.2966423987448223,0.48419324372486017,0.0
61,0.33745,11.404033756450623,5.8027459268910775,1.3032051889260856,0.0
62,0.340107,17.176658729408032,5.5291225631347345,1.2802021344393069,0.0
63,0.0326317,2.3986646574986707,0.6168889176290975,0.13490258888613482,0.0
64,0.406255,18.663035991602023,6.522582295859877,1.494544870849296,0.0
65,0.29898,13.863522288914943,5.031299254923951,1.1243839810496326,0.0
66,0.0520168,2.7725288735150997,0.9624229355395784,0.23155562746502767,0.0
67,0.0480011,4.860806591159573,0.8711709583851075,0.21009328012526396,0.0
68,0.0449263,1.4147184715556165,0.8411600923236477,0.20383049585633728,0.0
69,0.330053,8.763003396386935,5.750954844544751,1.3870726145514851,0.0
