,t(ms),V(mV) Spine Head - M,V(mV) Spine Head - lb,V(mV) Spine Head - ub,V(mV) Dendritic shaft - M,V(mV) Dendritic shaft - lb,V(mV) Dendritic shaft - ub,V(mV) Soma - M,V(mV) Soma - lb,V(mV) Soma - ub
28,-118.6,-69.99979609667383,-69.9998974709372,-69.99966272419394,-69.99993603578484,-69.99996522479793,-69.99987213185857,-69.99999575976956,-69.99999853648973,-69.99998785507613
29,-118.55,-69.99979379022001,-69.99989633214761,-69.99965941485029,-69.99993472332477,-69.99996460023125,-69.99986986008395,-69.99999549401838,-69.99999842552083,-69.99998724630699
30,-118.5,-69.99979148763754,-69.9998952491946,-69.99965681112919,-69.99993333102546,-69.99996397614724,-69.99986765658402,-69.99999525389548,-69.9999983124425,-69.99998665837964
31,-118.45,-69.99978964304756,-69.99989418509647,-69.99965401797074,-69.99993226635812,-69.99996328180966,-69.99986551735428,-69.99999502839898,-69.9999981882955,-69.99998611948384
32,-118.4,-69.99978755389864,-69.99989313895145,-69.99965038776206,-69.99993133582628,-69.99996265056186,-69.99986343869931,-69.99999480367367,-69.99999807927658,-69.99998558573553
33,-118.35,-69.9997856150298,-69.99989210993729,-69.9996474517792,-69.99993036899706,-69.99996207482556,-69.99986141720443,-69.9999945491209,-69.99999794922147,-69.9999850573475
34,-118.3,-69.999783711455,-69.9998910973022,-69.99964524366219,-69.99992897308124,-69.99996151441074,-69.9998594497105,-69.99999424120206,-69.99999783735254,-69.99998453449822
35,-118.25,-69.99978205941909,-69.99989010035702,-69.99964337840757,-69.99992784652211,-69.99996096848889,-69.9998575332912,-69.99999391135289,-69.99999769900505,-69.99998400597747
36,-118.2,-69.99978078741839,-69.99988929336682,-69.99964140485004,-69.99992702256058,-69.99996048065344,-69.99985566523277,-69.99999358810842,-69.99999756584918,-69.9999834190472
37,-118.15,-69.99977935761862,-69.9998885854656,-69.99963969394598,-69.99992621689951,-69.99996004875238,-69.99985360134201,-69.99999326243338,-69.99999742333569,-69.99998273898845
38,-118.1,-69.9997777579603,-69.99988811224874,-69.99963853232663,-69.99992542877398,-69.99995962619718,-69.99985107884753,-69.99999292181566,-69.99999731208793,-69.99998210677168
39,-118.05,-69.99977680307335,-69.99988765949142,-69.99963716281293,-69.99992465747376,-69.9999592126147,-69.99984858922039,-69.99999260508389,-69.99999717573354,-69.99998147813697
40,-118.0,-69.99977637316343,-69.99988721695122,-69.99963566275106,-69.99992370369789,-69.9999588076571,-69.99984613144248,-69.99999227400265,-69.99999702058886,-69.99998085336296
41,-117.95,-69.9997752401819,-69.99988678417253,-69.999633869498,-69.99992257341302,-69.99995841099914,-69.99984385551137,-69.99999195286273,-69.99999689136284,-69.99998027103763
42,-117.9,-69.99977412977594,-69.99988636073162,-69.99963130351527,-69.9999214586064,-69.999958022336,-69.99984216700872,-69.99999160836293,-69.99999676739536,-69.99997969342947
43,-117.85,-69.99977301094421,-69.9998858420825,-69.9996303505173,-69.99992035878124,-69.99995764138119,-69.99984051357774,-69.99999127428443,-69.9999966401136,-69.99997914878276
44,-117.8,-69.99977216799218,-69.9998849668531,-69.99962940786801,-69.99991942688618,-69.99995726786489,-69.99983889363108,-69.99999097035389,-69.99999649322477,-69.99997860996432
45,-117.75,-69.9997713474636,-69.9998841074166,-69.99962742471408,-69.99991861552336,-69.99995690153241,-69.9998373056833,-69.99999063436792,-69.99999632645599,-69.99997807701942
46,-117.7,-69.99977057154915,-69.99988346776703,-69.99962526500744,-69.99991781960061,-69.99995635513665,-69.99983574834329,-69.99999034238343,-69.99999620258356,-69.99997753921362
47,-117.65,-69.9997697502816,-69.99988303605767,-69.99962314738019,-69.99991703846094,-69.99995575227922,-69.99983435893932,-69.99999011212248,-69.99999608323337,-69.99997710054528
48,-117.6,-69.99976884777074,-69.9998826099054,-69.99962136512795,-69.99991627148816,-69.99995535387457,-69.99983272035293,-69.99998988851434,-69.99999594307197,-69.99997663987564
49,-117.55,-69.99976790993463,-69.99988208744709,-69.99962013670368,-69.99991551810403,-69.99995499288977,-69.9998308085631,-69.99998953535696,-69.99999580268475,-69.99997608329066
50,-117.5,-69.99976668749053,-69.99988145540546,-69.99961758688781,-69.99991477776557,-69.9999546384047,-69.9998288597008,-69.99998918821889,-69.99999566213872,-69.9999755185161
51,-117.45,-69.99976540138297,-69.99988083423867,-69.99961584542969,-69.99991407534813,-69.99995429016599,-69.99982693432071,-69.99998885591953,-69.99999552149652,-69.99997500362349
52,-117.4,-69.99976412923981,-69.99988027027892,-69.99961456370161,-69.99991333421539,-69.99995394793541,-69.99982503183499,-69.99998862050751,-69.99999538081673,-69.99997440618601
53,-117.35,-69.9997631554194,-69.99987964300207,-69.99961273759328,-69.9999126300728,-69.99995361148878,-69.99982315168708,-69.99998833921536,-69.9999952606216,-69.99997385867002
54,-117.3,-69.99976225223747,-69.99987903190247,-69.99961124501232,-69.99991165241386,-69.99995328061496,-69.9998212933496,-69.99998805969794,-69.99999514570466,-69.99997331692916
55,-117.25,-69.99976136236437,-69.99987845026895,-69.99960979883708,-69.99991093353005,-69.9999529551149,-69.99981969466403,-69.99998772139041,-69.99999500600661,-69.99997278095883
56,-117.2,-69.99976048534955,-69.99987787764037,-69.99960733237847,-69.99991016743724,-69.99995263480086,-69.99981829887166,-69.99998739816866,-69.9999948664502,-69.99997231981067
57,-117.15,-69.9997596207683,-69.99987731370533,-69.99960560934198,-69.99990941505415,-69.99995231949553,-69.99981692387907,-69.99998707592164,-69.99999472707712,-69.99997172627167
58,-117.1,-69.99975876821999,-69.99987670159837,-69.9996047036085,-69.99990882937489,-69.99995200903142,-69.99981556899161,-69.99998676883165,-69.99999458792632,-69.99997120750834
59,-117.05,-69.99975792732651,-69.99987596397948,-69.99960273152787,-69.99990817639822,-69.99995170325013,-69.99981423355337,-69.99998654454863,-69.9999944490341,-69.99997069442395
60,-117.0,-69.99975727957444,-69.9998753004968,-69.99960173819086,-69.99990750991364,-69.99995140200177,-69.99981291694466,-69.99998626479898,-69.9999943104343,-69.9999701869809
61,-116.95,-69.99975679551433,-69.9998748226336,-69.99960006686383,-69.99990685201419,-69.99995110514439,-69.99981161857963,-69.99998604457869,-69.99999416571099,-69.9999696851369
62,-116.9,-69.99975628143713,-69.99987435089679,-69.99959866995727,-69.99990620245795,-69.99995081254347,-69.999810337904,-69.99998580284031,-69.9999940342358,-69.99996918884554
63,-116.85,-69.99975515511858,-69.99987388511578,-69.99959757054928,-69.99990537868295,-69.99995052407141,-69.99980907439313,-69.99998547026965,-69.99999389669371,-69.99996867742527
64,-116.8,-69.99975404346435,-69.99987342512898,-69.99959648401752,-69.99990484776043,-69.99995023960712,-69.99980761633685,-69.99998515785444,-69.99999375955753,-69.99996817751143
65,-116.75,-69.99975310802648,-69.9998729707833,-69.9995954100572,-69.99990430161778,-69.99994995903555,-69.9998061112404,-69.99998492205103,-69.9999936321296,-69.99996773277056
66,-116.7,-69.9997523397337,-69.9998725219335,-69.99959434837868,-69.99990362833897,-69.99994968224736,-69.99980489508685,-69.99998462228238,-69.99999353057841,-69.99996736082502
67,-116.65,-69.99975158072311,-69.99987207844177,-69.99959286962996,-69.99990289606839,-69.9999494091386,-69.99980369434114,-69.99998445723945,-69.99999342995588,-69.99996696015036
68,-116.6,-69.99975075070722,-69.99987161065023,-69.99959089845512,-69.99990230390704,-69.99994913961022,-69.99980250859608,-69.99998422819448,-69.99999333025573,-69.99996655055948
69,-116.55,-69.99974990697754,-69.99987113213668,-69.99958894770761,-69.99990171895408,-69.99994887356796,-69.99980133746466,-69.99998402450312,-69.99999320984386,-69.9999661737207
70,-116.5,-69.99974918659346,-69.99987070237125,-69.99958701705135,-69.99990115094407,-69.99994861092192,-69.99980018057877,-69.99998378233721,-69.99999307283284,-69.9999656702751
71,-116.45,-69.99974847348423,-69.99987022878088,-69.99958510616301,-69.99990068380745,-69.99994835158633,-69.99979914915177,-69.99998355912199,-69.99999293626661,-69.99996512119424
72,-116.4,-69.99974776754472,-69.99986973137963,-69.99958321473117,-69.99990012078621,-69.99994809547934,-69.99979815784958,-69.99998335887236,-69.99999280016257,-69.99996456007739
73,-116.35,-69.99974706867316,-69.99986927558946,-69.99958152520088,-69.99989955019615,-69.99994784252274,-69.99979717880602,-69.99998313299768,-69.99999266453696,-69.99996407994495
74,-116.3,-69.99974637677096,-69.99986880154795,-69.99958063485309,-69.99989898584906,-69.99994759264179,-69.9997961830731,-69.9999829388479,-69.99999252940489,-69.99996373846803
75,-116.25,-69.99974569174252,-69.99986832752523,-69.99957975401009,-69.99989846006194,-69.99994734576495,-69.99979509312918,-69.99998274681253,-69.99999239478045,-69.9999634125738
76,-116.2,-69.99974501349502,-69.99986793982542,-69.99957834597568,-69.99989796244417,-69.99994709351172,-69.99979401550706,-69.99998255685965,-69.99999230112205,-69.9999630909845
77,-116.15,-69.99974434193832,-69.99986759255759,-69.99957599312,-69.99989747206598,-69.99994683707021,-69.99979294994459,-69.99998236895738,-69.99999222763714,-69.99996266662897
78,-116.1,-69.9997436769848,-69.99986728385348,-69.99957407355087,-69.99989698875655,-69.99994658352702,-69.99979176099212,-69.99998218307407,-69.99999215503328,-69.99996222790465
