,[Ca^{2+}]_{max} (uM),Percentage VDCC-dep [Ca^{2+}]
0,0.2278306041184147,14.47403642284204
1,0.5836487218224424,6.610693683691526
2,0.2376603865535871,13.89588574824292
3,0.18435722602519236,17.367718200125914
4,0.1728550242131451,18.23077077458547
5,0.8489294400729461,7.774373453601447
6,0.6874808093299485,5.070898497675847
7,0.2991739816899317,10.8089641047459
8,0.36472680741816166,10.151785046791606
9,0.29036205552675565,11.153011602958818
10,0.8524356730422752,4.399556946926131
11,0.46132008326208473,8.140821239865815
12,0.40893676342067364,8.32264024473729
13,0.4973490223483985,7.6643216360921524
14,1.3201814359955215,1.8188033351572819
15,0.5200555280268182,6.1117944452969475
16,0.1800219798762379,17.608103691468035
17,0.834704399040583,7.860676259463883
18,0.20707107258397214,15.458469728461644
19,0.57723695829265,7.4380485825550124
20,0.31712808615301213,10.299336683607873
21,0.33996806315604466,10.728624520266239
22,0.7356376314643742,5.955742144069909
23,0.7671867794958996,4.764195099320057
24,0.43398152356187303,7.97823742051853
25,0.478821299751086,7.269863749195538
26,0.5592562675100846,6.407776533601073
27,0.3368322163570864,9.68054210379259
28,0.2942725250530648,11.776333671377682
29,0.9697171574850313,3.2357688000339224
30,0.4520054457531659,7.742020042573882
31,0.2941007116203236,11.591275153349612
32,0.6439513861788824,6.23171367838391
33,0.2927252332975082,12.352925185121578
34,0.42053796941538735,10.02906045807882
35,0.621709082936863,6.672301482757725
36,0.685183857055448,5.653838462939865
37,0.6894403220314531,10.478516899105927
38,0.4376413799274066,7.348425147944903
39,0.42315850813105027,8.553622393231331
40,0.6292710047881149,4.740427281452286
41,0.4037668178764183,8.958634976904634
42,0.4248854785492684,8.006421103795535
43,0.7012169540866552,8.267199352738619
44,0.4758373468071908,9.007874418334849
45,0.29705322769549436,11.367625457336528
46,0.5023280072933156,7.405222185991811
47,0.5740721165226726,5.996297998718603
48,0.49223600878414764,6.636522868902395
49,0.38500076302260944,8.335457777360912
50,1.389408236622761,4.905549349321148
51,0.6904020264176851,5.284914671168927
52,0.3812715063862593,8.465583340888582
53,0.3495394852520758,9.272896332019553
54,0.3294444883569606,9.8672744613015
55,0.5674319972473798,5.42150066280831
56,0.36545738251248006,8.850617444066822
57,0.9076104593960957,5.085108869335353
58,0.2475970153573794,13.05624200405948
59,0.30633049831592574,10.795274382896547
60,0.6362620753445344,5.4920130902991415
61,0.22309978620534612,14.389809514228503
62,0.5934855539584595,5.252734887495613
63,1.6973404805210475,9.630365942698493
64,0.2796969065477243,11.625084631329585
65,0.27946534697622705,11.687560485818327
66,0.8166137387863652,5.731353506559711
67,0.5066308683852886,6.346380136761165
68,0.6657021738557102,5.478170756508383
69,0.9975960015376127,4.48764241776437
70,0.9814709475474827,4.288923825190483
71,0.24573104435114831,13.17140963420983
72,0.8836197691854404,5.844414980801627
73,0.8857353397287002,4.063915948382812
74,0.3557972966898737,9.095243966411648
75,0.2773878436819984,11.869509548773639
76,0.1894720787774797,16.785770576273297
77,0.6380751169433916,5.354668886490444
78,0.24154500460622028,13.486425282376246
79,0.3094561672691274,11.245819329227247
80,0.49063753688526257,7.033717962314345
81,0.474504513647516,6.941863094822464
82,0.2607352310421289,12.795225945085342
83,0.2595127655961136,13.417099422875744
84,0.18926716797599538,16.935142564615326
85,0.14875036577124093,20.68113714014437
86,0.3697926905983675,9.077519883946728
87,0.27015614647924013,12.21835829720187
88,0.649562942032358,5.820348504038908
89,0.4990930300912906,7.463245299896992
90,0.38481915018077795,8.379008702392731
91,0.3823909398913399,8.518431237258838
92,0.5103166341003685,6.483759123736288
93,0.3355163069998921,9.776316300709166
94,0.25595413509090836,12.817646701211306
95,0.3622190586773698,9.230669311756879
96,0.7974801102662317,4.523374357646171
97,0.2829443473433161,11.789727684319795
98,0.5566029822221004,5.773277671118215
99,0.43237286291150434,7.935000324135332
100,0.6004659047876686,6.518842402620029
101,0.8711776455253758,4.088724580729131
102,0.8067416737565641,5.324605654407765
103,0.26892293439073955,12.34933931362211
104,0.11786121854210937,25.230710750701146
105,0.4512755822095591,7.3979736810618535
106,0.5778408827369389,5.7233201258508615
107,0.5368788839598946,6.148904159805735
108,0.3086171843657769,10.680491756386179
109,0.4523453900791473,7.634468624749657
110,0.6718012015726677,5.857271732018187
111,0.31262436956680517,10.41715747890306
112,0.656289663468266,5.048153543756451
113,0.8320731322208188,5.804323950196643
114,0.2154369042731529,15.155085419524061
115,0.49144527980512887,6.707825693320125
116,0.3012684981723308,10.80360091675715
117,1.5993966271448377,8.495095590802082
118,0.12456896497758771,24.21704007686618
119,0.3673077781712554,8.858252927573728
120,0.3352501683243694,9.99529381180425
121,0.9031623008599826,5.655907850729591
122,0.47648480531848947,7.54020960724886
123,0.4047991419466459,8.475932310434098
124,0.5124692775483458,7.531012981276774
