,t(ms),Conductance NMDA,Conductance AMPA,Conductance GABA
659,79.03903903903904,0.0109695740559521,1.0752630097285463e-19,1.0752630097285463e-19
660,79.15915915915916,0.010892337452697643,1.0058489303883456e-19,1.0058489303883456e-19
661,79.27927927927928,0.010815644671186104,9.409159076520276e-20,9.409159076520276e-20
662,79.3993993993994,0.010739491882376915,8.801746649278901e-20,8.801746649278901e-20
663,79.51951951951952,0.010663875284189722,8.233546000025997e-20,8.233546000025997e-20
664,79.63963963963964,0.010588791101314528,7.70202579508449e-20,7.70202579508449e-20
665,79.75975975975976,0.010514235585023275,7.204818112142639e-20,7.204818112142639e-20
666,79.87987987987988,0.01044020501298263,6.739707891161224e-20,6.739707891161224e-20
667,80.0,0.010366695689068133,6.304623066282054e-20,6.304623066282054e-20
668,80.12012012012012,0.010293703943179716,5.897625334775045e-20,5.897625334775045e-20
669,80.24024024024024,0.010221226131058386,5.51690152190046e-20,5.51690152190046e-20
670,80.36036036036036,0.010149258634104355,5.1607555032162406e-20,5.1607555032162406e-20
671,80.48048048048048,0.010077797859196342,4.827600648344009e-20,4.827600648344009e-20
672,80.6006006006006,0.010006840238512144,4.515952752531473e-20,4.515952752531473e-20
673,80.72072072072072,0.009936382229350574,4.224423424520904e-20,4.224423424520904e-20
674,80.84084084084084,0.009866420313954545,3.951713901266408e-20,3.951713901266408e-20
675,80.96096096096096,0.00979695099933542,3.6966092619451596e-20,3.6966092619451596e-20
676,81.08108108108108,0.009727970817098669,3.457973015485668e-20,3.457973015485668e-20
677,81.2012012012012,0.00965947632327067,3.234742037500321e-20,3.234742037500321e-20
678,81.32132132132132,0.009591464098126746,3.025921834066731e-20,3.025921834066731e-20
679,81.44144144144144,0.009523930746020471,2.830582111257743e-20,2.830582111257743e-20
680,81.56156156156156,0.009456872895214114,2.6478526306822137e-20,2.6478526306822137e-20
681,81.68168168168168,0.009390287197710278,2.4769193325733768e-20,2.4769193325733768e-20
682,81.8018018018018,0.009324170329084782,2.3170207091529423e-20,2.3170207091529423e-20
683,81.92192192192192,0.009258518988320667,2.167444412114121e-20,2.167444412114121e-20
684,82.04204204204204,0.009193329897643363,2.0275240791102488e-20,2.0275240791102488e-20
685,82.16216216216216,0.009128599802357088,1.8966363651108227e-20,1.8966363651108227e-20
686,82.28228228228228,0.009064325470682297,1.7741981653995397e-20,1.7741981653995397e-20
687,82.4024024024024,0.009000503693594371,1.659664017843052e-20,1.659664017843052e-20
688,82.52252252252252,0.008937131284663396,1.5525236728574047e-20,1.5525236728574047e-20
689,82.64264264264264,0.008874205079895028,1.4522998202462572e-20,1.4522998202462572e-20
690,82.76276276276276,0.008811721937572585,1.358545962784181e-20,1.358545962784181e-20
691,82.88288288288288,0.008749678738100168,1.2708444270717159e-20,1.2708444270717159e-20
692,83.003003003003,0.008688072383846878,1.1888045028004727e-20,1.1888045028004727e-20
693,83.12312312312312,0.008626899798992213,1.112060702138891e-20,1.112060702138891e-20
694,83.24324324324324,0.008566157929372473,1.0402711314841095e-20,1.0402711314841095e-20
695,83.36336336336336,0.00850584374232826,9.73115968326046e-21,9.73115968326046e-21
696,83.48348348348348,0.008445954226553103,9.102960364382623e-21,9.102960364382623e-21
697,83.6036036036036,0.008386486391943096,8.515314730480077e-21,8.515314730480077e-21
698,83.72372372372372,0.008327437269447584,7.965604820476305e-21,7.965604820476305e-21
699,83.84384384384384,0.00826880391092098,7.451381676930416e-21,7.451381676930416e-21
700,83.96396396396396,0.00821058338897554,6.970354435932802e-21,6.970354435932802e-21
701,84.08408408408408,0.008152772796835189,6.520380121306972e-21,6.520380121306972e-21
702,84.2042042042042,0.008095369248190452,6.0994540976516686e-21,6.0994540976516686e-21
703,84.32432432432432,0.008038369877054283,5.705701139691041e-21,5.705701139691041e-21
704,84.44444444444444,0.007981771837619032,5.337367078146478e-21,5.337367078146478e-21
705,84.56456456456456,0.00792557230411433,4.992810984913282e-21,4.992810984913282e-21
706,84.68468468468468,0.007869768470666,4.67049786272669e-21,4.67049786272669e-21
707,84.8048048048048,0.007814357551156,4.368991806749408e-21,4.368991806749408e-21
708,84.92492492492492,0.007759336779083305,4.086949607616238e-21,4.086949607616238e-21
709,85.04504504504504,0.007704703407425755,3.823114767436936e-21,3.823114767436936e-21
710,85.16516516516516,0.007650454708502957,3.576311902098409e-21,3.576311902098409e-21
711,85.28528528528528,0.007596587973840073,3.3454415049290377e-21,3.3454415049290377e-21
712,85.4054054054054,0.007543100514032572,3.129475048396932e-21,3.129475048396932e-21
713,85.52552552552552,0.007489989658612003,2.9274504020200227e-21,2.9274504020200227e-21
714,85.64564564564564,0.00743725275591264,2.7384675460752054e-21,2.7384675460752054e-21
715,85.76576576576576,0.007384887172939076,2.561684562010871e-21,2.561684562010871e-21
716,85.88588588588588,0.0073328902952348035,2.3963138816999564e-21,2.3963138816999564e-21
717,86.006006006006,0.007281259526751666,2.2416187788243e-21,2.2416187788243e-21
718,86.12612612612612,0.007229992289720218,2.0969100867592215e-21,2.0969100867592215e-21
719,86.24624624624624,0.007179086024521077,1.9615431283363673e-21,1.9615431283363673e-21
720,86.36636636636636,0.0071285381895570795,1.834914843807227e-21,1.834914843807227e-21
721,86.48648648648648,0.007078346261126423,1.7164611042122153e-21,1.7164611042122153e-21
722,86.6066066066066,0.007028507733296653,1.6056541981862914e-21,1.6056541981862914e-21
723,86.72672672672672,0.006979020117779528,1.5020004810050718e-21,1.5020004810050718e-21
724,86.84684684684684,0.006929880943806825,1.4050381753977994e-21,1.4050381753977994e-21
725,86.96696696696696,0.006881087758006962,1.31433531432971e-21,1.31433531432971e-21
726,87.08708708708708,0.00683263812428249,1.2294878165890946e-21,1.2294878165890946e-21
727,87.2072072072072,0.006784529623688504,1.1501176866056759e-21,1.1501176866056759e-21
