,t(ms),Total [Ca^{2+}] (uM),VDCC-dep [Ca^{2+}] (uM),NMDAR-dep [Ca^{2+}] (uM)
0,0.0,0.0,0.0,0.0
1,0.05,0.0,0.0,0.0
2,0.1,9.085188831944225e-06,9.085188831944225e-06,0.0
3,0.15,1.8147750425998943e-05,1.8147750425998943e-05,0.0
4,0.19999999999999998,2.7187745380537263e-05,2.7187745380537263e-05,0.0
5,0.24999999999999997,3.620521348349544e-05,3.620521348349544e-05,0.0
6,0.3,4.520019486260303e-05,4.520019486260303e-05,0.0
7,0.35000000000000003,5.417273292380947e-05,5.417273292380947e-05,0.0
8,0.4000000000000001,6.31228741579229e-05,6.31228741579229e-05,0.0
9,0.4500000000000001,7.205066745525242e-05,7.205066745525242e-05,0.0
10,0.5000000000000001,8.095616346102702e-05,8.095616346102702e-05,0.0
11,0.5500000000000002,8.983941406551583e-05,8.983941406551583e-05,0.0
12,0.6000000000000002,9.87004720229404e-05,9.87004720229404e-05,0.0
13,0.6500000000000002,0.0001075393906734449,0.0001075393906734449,0.0
14,0.7000000000000003,0.00011635622374261735,0.00011635622374261735,0.0
15,0.7500000000000003,0.00012515102519776252,0.00012515102519776252,0.0
16,0.8000000000000004,0.00013392384914515077,0.00013392384914515077,0.0
17,0.8500000000000004,0.00014267474975659768,0.00014267474975659768,0.0
18,0.9000000000000005,0.0001514037812169643,0.0001514037812169643,0.0
19,0.9500000000000005,0.00016011099768652672,0.00016011099768652672,0.0
20,1.0000000000000004,0.0001687964532739352,0.0001687964532739352,0.0
21,1.0500000000000003,0.00017746020201668577,0.00017746020201668577,0.0
22,1.1,0.00018610229786695433,0.00018610229786695433,0.0
23,1.15,0.00019472279468126086,0.00019472279468126086,0.0
24,1.1999999999999997,0.00020332174621287842,0.00020332174621287842,0.0
25,1.2499999999999996,0.00021189920610620975,0.00021189920610620975,0.0
26,1.2999999999999994,0.00022045522789260172,0.00022045522789260172,0.0
27,1.3499999999999992,0.00022898986498720323,0.00022898986498720323,0.0
28,1.399999999999999,0.00023750317068657665,0.00023750317068657665,0.0
29,1.4499999999999988,0.0002459951981668949,0.0002459951981668949,0.0
30,1.4999999999999987,0.0002544660004825436,0.0002544660004825436,0.0
31,1.5499999999999985,0.0002629156305650595,0.0002629156305650595,0.0
32,1.5999999999999983,0.0002713441412223046,0.0002713441412223046,0.0
33,1.6499999999999981,0.0002797515851378353,0.0002797515851378353,0.0
34,1.699999999999998,0.00028813801487041454,0.00028813801487041454,0.0
35,1.7499999999999978,0.0002965034828536504,0.0002965034828536504,0.0
36,1.7999999999999976,0.0003048480413957238,0.0003048480413957238,0.0
37,1.8499999999999974,0.00031317174267919223,0.00031317174267919223,0.0
38,1.8999999999999972,0.0003214746387608654,0.0003214746387608654,0.0
39,1.949999999999997,0.00032975678157172087,0.00032975678157172087,0.0
40,1.999999999999997,0.00033801822291687624,0.00033801822291687624,0.0
41,2.0499999999999967,0.0003462590144755918,0.0003462590144755918,0.0
42,2.0999999999999965,0.00035447920780130616,0.00035447920780130616,0.0
43,2.1499999999999964,0.0003626788543217064,0.0003626788543217064,0.0
44,2.199999999999996,0.0003708580053388095,0.0003708580053388095,0.0
45,2.249999999999996,0.0003790167120290757,0.0003790167120290757,0.0
46,2.299999999999996,0.0003871550254435353,0.0003871550254435353,0.0
47,2.3499999999999956,0.0003952729965079344,0.0003952729965079344,0.0
48,2.3999999999999955,0.00040337067602289224,0.00040337067602289224,0.0
49,2.4499999999999953,0.0004114481146640695,0.0004114481146640695,0.0
50,2.499999999999995,0.0004195053629823554,0.0004195053629823554,0.0
51,2.549999999999995,0.00042754247140405766,0.00042754247140405766,0.0
52,2.5999999999999948,0.00043555949023110194,0.00043555949023110194,0.0
53,2.6499999999999946,0.00044355646964124577,0.00044355646964124577,0.0
54,2.6999999999999944,0.0004515334596882901,0.0004515334596882901,0.0
55,2.7499999999999942,0.0004594905103023068,0.0004594905103023068,0.0
56,2.799999999999994,0.0004674276712898654,0.0004674276712898654,0.0
57,2.849999999999994,0.00047534499233426787,0.00047534499233426787,0.0
58,2.8999999999999937,0.0004832425229957876,0.0004832425229957876,0.0
59,2.9499999999999935,0.0004911203127119143,0.0004911203127119143,0.0
60,2.9999999999999933,0.000498978410797598,0.000498978410797598,0.0
61,3.049999999999993,0.0005068168664455052,0.0005068168664455052,0.0
62,3.099999999999993,0.0005146357287262661,0.0005146357287262661,0.0
63,3.149999999999993,0.0005224350465887381,0.0005224350465887381,0.0
64,3.1999999999999926,0.0005302148688602609,0.0005302148688602609,0.0
65,3.2499999999999925,0.0005379752442469191,0.0005379752442469191,0.0
66,3.2999999999999923,0.0005457162213338086,0.0005457162213338086,0.0
67,3.349999999999992,0.0005534378485852998,0.0005534378485852998,0.0
68,3.399999999999992,0.0005611401743453058,0.0005611401743453058,0.0
69,3.4499999999999917,0.0005688232468375498,0.0005688232468375498,0.0
70,3.4999999999999916,0.0005764871141658403,0.0005764871141658403,0.0
71,3.5499999999999914,0.0005841318243143381,0.0005841318243143381,0.0
72,3.599999999999991,0.0005917574251478312,0.0005917574251478312,0.0
73,3.649999999999991,0.0005993639644120047,0.0005993639644120047,0.0
74,3.699999999999991,0.0006069514897337236,0.0006069514897337236,0.0
75,3.7499999999999907,0.0006145200486212978,0.0006145200486212978,0.0
76,3.7999999999999905,0.0006220696884647653,0.0006220696884647653,0.0
77,3.8499999999999903,0.0006296004565361646,0.0006296004565361646,0.0
78,3.89999999999999,0.0006371123999898135,0.0006371123999898135,0.0
