,AePSD (um^2),[Ca2+]_{max} (uM),SiS (0) or DiS (1)
0,0.0316088,0.22782520389068908,0.0
1,0.310407,0.5835157072198436,0.0
2,0.0442527,0.2376526428267249,0.0
3,0.0468478,0.18435078804748492,0.0
4,0.0120591,0.17285347200235965,0.0
5,0.110218,0.8488705415243127,0.0
6,0.139594,0.6874159327987199,0.0
7,0.0154083,0.29917067325542546,0.0
8,0.285252,0.3646503734730928,0.0
9,0.0219841,0.2903575619651504,0.0
10,0.392011,0.8522149256543107,0.0
11,0.281753,0.4972537279422291,0.0
12,0.110828,1.320089261293916,0.0
13,0.0847531,0.5200257816241667,0.0
14,0.0168052,0.18001981867508807,0.0
15,0.317011,0.8345338470349972,0.0
16,0.0232542,0.20706758568229036,0.0
17,0.825563,24.977204024355395,0.0
18,0.37507,0.5770730515456651,0.0
19,0.0375907,0.3171195277741602,0.0
20,0.336336,0.7354544283938718,0.0
21,0.265411,0.7670679255603801,0.0
22,0.164226,0.4339379585573552,0.0
23,0.213538,0.47875867039193376,0.0
24,0.152372,0.5592070155273646,0.0
25,0.04597,0.3368227170907929,0.0
26,0.165755,0.29424299099074513,0.0
27,0.240145,0.9695889203404718,0.0
28,0.104554,0.4519788263152381,0.0
29,0.0612022,0.2940901945611889,0.0
30,0.38387,0.6437939361140986,0.0
31,0.207843,0.29268597624590476,0.0
32,0.37944,0.6215732556784057,0.0
33,0.353446,0.6850468957090111,0.0
34,0.05477,0.4376280961939074,0.0
35,0.22483,0.4231048841958406,0.0
36,0.0422327,0.6292565538892243,0.0
37,0.161781,0.4037320243982685,0.0
38,0.114496,0.4248594590952699,0.0
39,0.358121,0.47574631239311893,0.0
40,0.041296,0.2970465472004231,0.0
41,0.0927934,0.502304713638314,0.0
42,0.248267,0.5739131604435521,0.0
43,0.164924,0.49215498358407295,0.0
44,0.0280447,0.3849892701387073,0.0
45,0.623957,1.3883471750078562,0.0
46,0.402016,0.6900892168759901,0.0
47,0.0441042,0.38125449477710394,0.0
