,dt(ms),inh Sis - M,inh Sis - lb,inh Sis - ub,inh Dis - M,inh Dis - lb,inh Dis - ub
0,-49.0,0.021248851125471757,0.021248851125471757,0.08161029391576981,0.027020482978353105,0.027020482978353105,0.04503718888869976
1,-30.0,0.07322281350445765,0.05684957073245206,0.2568834823932314,0.0847416239695897,0.08070801979761719,0.1426940305138273
2,-20.0,0.12739455740379785,0.0974800109809829,0.4375934092078702,0.1544016611867134,0.13367520692010573,0.24786928612521583
3,-15.0,0.16039348717641588,0.12289977438004293,0.5533659995196326,0.20124281553715528,0.1725065126647671,0.3225905745632946
4,-10.0,0.1900509808317964,0.14971879520169518,0.6607017359006985,0.2505022125582917,0.21975994065401644,0.40587524818953746
5,-7.5,0.1996507492783309,0.15883018193749815,0.6956154710850683,0.2741512515608128,0.24407172739972646,0.44774772734410295
6,-5.0,0.19511328768046834,0.15809731506419158,0.7024565134743594,0.29001751185052654,0.26245029965604233,0.4852753018615299
7,-3.5,0.1806521563423331,0.14817099410965026,0.6698329855157382,0.28986368502718435,0.26350596844753316,0.5002701218504189
8,-2.0,0.14685269257893763,0.12617348649888233,0.5514394411045421,0.27486613368288076,0.24828397709398164,0.49133263036380015
9,-1.0,0.08484602695599382,0.06809752868597023,0.3739690981972949,0.19935466824059025,0.17956189295239458,0.3613810320655319
10,-0.5,0.020739070803386488,0.014823252769129273,0.21670974644809643,0.0331004035471999,0.05302483637520647,0.11192112897690343
11,0.0,0.007146644809548172,0.002116559183640984,0.01565978888814942,0.007293582014144065,0.02639023398618639,0.009117302857358366
12,0.5,0.006052640310660459,0.003291945073433553,0.013119185839151339,0.006199577515256361,0.016395406157431902,0.007332760223631685
13,1.0,0.004958635811772746,0.004467330963226122,0.010623771696787746,0.005105573016368657,0.006400578328677412,0.005675935288898575
14,2.0,0.0,0.0038788008106608284,0.0,0.004069853045131068,0.0,0.004806773358921962
15,2.75,0.0,0.0036336830904991862,0.0,0.004031225854023046,0.0,0.004810042368659624
16,3.5,0.0,0.0038223975622845526,0.0,0.004165292592884677,0.0,0.004966106609747642
17,5.0,0.0,0.0043760062596812435,0.0,0.004587549714624989,0.0,0.00540783868090279
18,7.5,0.0,0.005093868325076175,0.0,0.005293860635677436,0.0,0.00607463983472735
19,10.0,0.0,0.005244732852819981,0.0,0.005446921648634469,0.0,0.006235213750035927
20,15.0,0.0,0.005638742477738405,0.0,0.0058352312627497314,0.0,0.006604026932165632
21,20.0,0.0,0.004992481195409109,0.0,0.005158823545566899,0.0,0.005807691060713236
